epoch,train_acc,val_acc,train_loss,val_loss
0,6.097560882568359,3.6309523582458496,1.4147720336914062,2.8260133266448975
1,7.646341323852539,6.857142925262451,1.409687876701355,2.8110151290893555
2,11.487804412841797,12.0,1.4015061855316162,2.791203737258911
3,11.97560977935791,12.190476417541504,1.392645001411438,2.7712957859039307
4,12.365853309631348,12.226190567016602,1.3829774856567383,2.7566616535186768
5,12.219511985778809,12.452381134033203,1.37567937374115,2.743452310562134
6,12.378047943115234,12.476190567016602,1.3695917129516602,2.7408323287963867
7,12.439023971557617,12.392857551574707,1.3640098571777344,2.7358720302581787
8,12.463414192199707,12.559523582458496,1.3603860139846802,2.7357230186462402
9,13.59756088256836,12.34523868560791,1.3555123805999756,2.7343320846557617
10,14.256096839904785,12.34523868560791,1.3502916097640991,2.733090877532959
11,14.975608825683594,12.392857551574707,1.3459794521331787,2.734168529510498
12,15.317072868347168,12.142857551574707,1.339564323425293,2.7303075790405273
13,15.646341323852539,12.0,1.3326066732406616,2.7328450679779053
14,17.621950149536133,11.821429252624512,1.3262121677398682,2.730004072189331
15,17.719511032104492,11.85714340209961,1.3175824880599976,2.7350447177886963
16,17.60975456237793,12.023809432983398,1.3079360723495483,2.73239803314209
17,18.06097412109375,12.2380952835083,1.299996018409729,2.7297017574310303
18,19.09756088256836,12.309523582458496,1.2899106740951538,2.7338919639587402
19,20.670730590820312,12.535714149475098,1.2793769836425781,2.7320072650909424
20,21.439023971557617,12.928571701049805,1.2678642272949219,2.726907730102539
21,23.81707191467285,12.654762268066406,1.2560967206954956,2.738428831100464
22,24.926828384399414,12.726190567016602,1.24315345287323,2.7404699325561523
23,26.15853500366211,13.571429252624512,1.2332284450531006,2.7408342361450195
24,26.426828384399414,13.154762268066406,1.2174794673919678,2.7630300521850586
25,29.048778533935547,12.619048118591309,1.2015591859817505,2.783137321472168
26,28.86585235595703,13.654762268066406,1.1897902488708496,2.7679121494293213
27,30.829267501831055,12.940476417541504,1.177286148071289,2.7890923023223877
28,30.768291473388672,14.84523868560791,1.1615608930587769,2.7938761711120605
29,33.02438735961914,13.321429252624512,1.1502807140350342,2.7992310523986816
30,34.06097412109375,14.4880952835083,1.1293509006500244,2.8068952560424805
31,34.35365676879883,13.285714149475098,1.1148842573165894,2.8237884044647217
32,34.73170471191406,14.821429252624512,1.1011085510253906,2.8410844802856445
33,37.280487060546875,14.630952835083008,1.0826504230499268,2.823855400085449
34,37.45121765136719,13.7619047164917,1.0697189569473267,2.854295253753662
35,38.89024353027344,13.571429252624512,1.0482357740402222,2.8919262886047363
36,39.26829147338867,14.714285850524902,1.0303343534469604,2.9105465412139893
37,40.4878044128418,14.142857551574707,1.015028715133667,2.9175052642822266
38,41.280487060546875,13.678571701049805,0.9980933666229248,2.9471123218536377
39,42.90243911743164,14.4880952835083,0.9863160848617554,2.9360287189483643
40,45.207313537597656,15.10714340209961,0.9630926847457886,2.9314656257629395
41,45.243900299072266,14.34523868560791,0.9475945830345154,2.9747533798217773
42,45.56097412109375,14.35714340209961,0.9319606423377991,2.9925506114959717
43,47.280487060546875,15.333333969116211,0.9177334904670715,2.996675729751587
44,48.29268264770508,14.333333969116211,0.9021746516227722,3.0299365520477295
45,48.65853500366211,15.440476417541504,0.8860977292060852,3.050340175628662
46,48.475608825683594,15.154762268066406,0.8743318319320679,3.017024040222168
47,49.939022064208984,15.130952835083008,0.860747218132019,3.0815982818603516
48,50.71950912475586,16.0,0.8451279401779175,3.0642318725585938
49,52.54877853393555,16.619047164916992,0.8329841494560242,3.0747318267822266
50,51.57316970825195,16.369047164916992,0.8205865621566772,3.127152681350708
51,54.51219177246094,15.630952835083008,0.7990018725395203,3.162804126739502
52,53.69512176513672,14.964285850524902,0.7926886677742004,3.1429731845855713
53,54.6097526550293,15.392857551574707,0.7662572264671326,3.1642913818359375
54,55.23170471191406,15.476190567016602,0.7663874626159668,3.153825283050537
55,57.780487060546875,16.5238094329834,0.7477370500564575,3.20896053314209
56,58.45121765136719,15.726190567016602,0.723617672920227,3.2839341163635254
57,58.06097412109375,16.46428680419922,0.7178518176078796,3.1550118923187256
58,60.207313537597656,16.5,0.7009902000427246,3.213955879211426
59,59.499996185302734,17.2261905670166,0.6959943771362305,3.326383352279663
60,62.1097526550293,13.642857551574707,0.6773634552955627,3.365231990814209
61,60.902435302734375,17.25,0.6723679304122925,3.292523145675659
62,60.475608825683594,17.14285659790039,0.6665484309196472,3.2100119590759277
63,61.86585235595703,14.928571701049805,0.6543489098548889,3.408522605895996
64,63.41463088989258,16.952381134033203,0.6328588128089905,3.3062922954559326
65,63.207313537597656,18.2261905670166,0.6149418950080872,3.217811346054077
66,62.82926559448242,16.0238094329834,0.6087633967399597,3.2975032329559326
67,65.29267883300781,15.5,0.5932650566101074,3.337662935256958
68,63.67073059082031,16.452381134033203,0.599766194820404,3.4463820457458496
69,64.90243530273438,16.345237731933594,0.5769010186195374,3.365553379058838
70,66.36585235595703,17.869047164916992,0.5689100623130798,3.3621015548706055
71,65.45121765136719,17.428571701049805,0.5675528049468994,3.3057701587677
72,68.2682876586914,17.702381134033203,0.5525717735290527,3.4941413402557373
73,66.40243530273438,17.7738094329834,0.5597522854804993,3.4065496921539307
74,67.46340942382812,16.702381134033203,0.5501840710639954,3.5205271244049072
75,69.20731353759766,17.785715103149414,0.5261380672454834,3.4703867435455322
76,67.7682876586914,16.66666603088379,0.5258310437202454,3.549684762954712
77,70.08536529541016,15.333333969116211,0.5148535966873169,3.573063850402832
78,70.15853118896484,17.880952835083008,0.5162527561187744,3.4779372215270996
79,69.54877471923828,18.011905670166016,0.4967093765735626,3.5298805236816406
80,70.1463394165039,16.85714340209961,0.5025750398635864,3.6388113498687744
81,69.1463394165039,18.130952835083008,0.4908938407897949,3.552795886993408
82,71.36585235595703,17.452381134033203,0.470999538898468,3.6341564655303955
83,71.10975646972656,17.880952835083008,0.47750136256217957,3.527977466583252
84,71.86585235595703,17.297618865966797,0.4677472710609436,3.6854140758514404
85,73.743896484375,17.178571701049805,0.45702752470970154,3.6400575637817383
86,73.31707000732422,17.46428680419922,0.448778361082077,3.6135053634643555
87,72.35365295410156,18.630952835083008,0.4461674392223358,3.5149431228637695
88,72.80487823486328,19.261905670166016,0.43906232714653015,3.6111338138580322
89,73.98780059814453,18.797618865966797,0.43135297298431396,3.700443983078003
90,74.21951293945312,16.654762268066406,0.4263114333152771,3.736213445663452
91,73.45121765136719,16.380952835083008,0.4372023344039917,4.077916622161865
92,73.03658294677734,19.404762268066406,0.4375825524330139,3.944481372833252
93,74.54877471923828,18.08333396911621,0.41189560294151306,3.7153539657592773
94,74.23170471191406,19.44047737121582,0.41991251707077026,3.579376697540283
95,73.53658294677734,20.428571701049805,0.4079928696155548,3.5816023349761963
96,74.17073059082031,17.75,0.41532471776008606,3.9103260040283203
97,74.9756088256836,18.33333396911621,0.3932914137840271,3.9134652614593506
98,75.35365295410156,19.619047164916992,0.39691755175590515,3.854495048522949
99,75.42682647705078,19.83333396911621,0.402545690536499,3.7502517700195312
