epoch,train_acc,val_acc,train_loss,val_loss
0,4.9908671379089355,7.941176414489746,1.4104764461517334,2.854748249053955
1,10.63926887512207,6.176470756530762,1.3671364784240723,2.9218385219573975
2,14.716894149780273,11.117647171020508,1.338775634765625,3.0374433994293213
3,16.863012313842773,13.588234901428223,1.3155715465545654,3.174191951751709
4,19.817350387573242,16.941177368164062,1.2900487184524536,3.24139142036438
5,22.221460342407227,15.29411792755127,1.2604119777679443,3.2556581497192383
6,24.21232795715332,21.294116973876953,1.2289423942565918,3.313164710998535
7,25.91095733642578,21.823530197143555,1.1948243379592896,3.0726659297943115
8,28.262556076049805,20.05882453918457,1.1595208644866943,3.1829304695129395
9,29.933788299560547,23.05882453918457,1.1272401809692383,3.3188819885253906
10,31.881277084350586,18.58823585510254,1.0963870286941528,3.227177858352661
11,34.0159797668457,24.764705657958984,1.0663032531738281,3.054886817932129
12,35.73744201660156,21.0,1.0403484106063843,3.1810247898101807
13,37.312782287597656,24.235294342041016,1.0169150829315186,2.946528673171997
14,38.2990837097168,31.05882453918457,0.9954938292503357,2.833102226257324
15,39.41780471801758,25.05882453918457,0.9817541837692261,2.9165267944335938
16,40.739723205566406,27.117647171020508,0.9595803618431091,2.882673501968384
17,41.595890045166016,24.52941131591797,0.9497084021568298,3.127178430557251
18,41.842464447021484,30.58823585510254,0.9413910508155823,2.83876633644104
19,43.607303619384766,32.411766052246094,0.9226893782615662,3.024519920349121
20,43.32419967651367,34.11764907836914,0.924237847328186,2.9143612384796143
21,43.607303619384766,24.823530197143555,0.9156548976898193,3.219564199447632
22,44.18492889404297,33.05882263183594,0.9079327583312988,2.9216887950897217
23,43.769405364990234,29.41176414489746,0.9067810773849487,3.0165159702301025
24,44.83333206176758,27.941177368164062,0.8949671387672424,3.4988954067230225
25,45.6461181640625,23.764705657958984,0.8877003788948059,3.2284998893737793
26,46.23744201660156,35.29411697387695,0.8789147138595581,3.117227077484131
27,46.312782287597656,33.94117736816406,0.8713879585266113,3.052171468734741
28,47.020545959472656,33.882354736328125,0.8681621551513672,3.2465453147888184
29,46.901824951171875,28.41176414489746,0.8594481348991394,3.1678192615509033
30,47.6620979309082,28.764705657958984,0.8560182452201843,3.724294900894165
31,47.913238525390625,30.823530197143555,0.847730278968811,3.4056107997894287
